STAR_OUT,TEAM_CITY,TEAM_NAME,BENEFICIARY,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE,RANK
CJ McCollum,New Orleans,Pelicans,Jeremiah Robinson-Earl,18.067636111111113,5.317708333333334,0.42013888888888884,3.7152777777777777,8.614511111111113,18,False,4
CJ McCollum,New Orleans,Pelicans,Brandon Ingram,17.60977272727272,8.181818181818182,3.4545454545454546,1.545454545454545,4.42795454545454,11,False,5
Cade Cunningham,Detroit,Pistons,Tim Hardaway Jr.,12.60641975308642,7.666666666666666,-0.03571428571428559,0.27380952380952417,4.7016578483245155,7,False,1
Cade Cunningham,Detroit,Pistons,Marcus Sasser,11.014137596899225,4.830564784053156,0.7392026578073088,1.1710963455149503,4.273273809523809,7,False,2
Cade Cunningham,Detroit,Pistons,Malik Beasley,7.240963455149508,1.631229235880399,1.0016611295681066,-0.30730897009966807,4.91538205980067,7,False,3
Cade Cunningham,Detroit,Pistons,Ausar Thompson,6.533025289211726,0.2698412698412689,0.6349206349206351,0.412698412698413,5.215564971751409,7,False,4
Cade Cunningham,Detroit,Pistons,Paul Reed,4.7801089700996675,1.3853820598006648,-0.33056478405315615,1.2524916943521596,2.4727999999999994,7,False,5
Cam Thomas,Brooklyn,Nets,Shake Milton,21.563597513597514,6.79020979020979,1.6993006993006992,1.8146853146853146,11.259401709401711,13,False,1
Cam Thomas,Brooklyn,Nets,Noah Clowney,11.539317311041447,2.9607279693486586,-0.10919540229885061,0.8850574712643682,7.802727272727271,29,False,2
Cam Thomas,Brooklyn,Nets,Tyrese Martin,11.51495201515311,3.580202742993441,0.5903398926654742,1.785330948121646,5.559078431372548,39,False,3
Cam Thomas,Brooklyn,Nets,Keon Johnson,9.567521367521366,3.7264957264957275,0.8376068376068377,0.14700854700854693,4.856410256410253,39,False,4
Cam Thomas,Brooklyn,Nets,Tyson Etienne,8.444444444444443,6.111111111111111,1.3333333333333333,1.0,,9,False,5
Cameron Johnson,Brooklyn,Nets,Tyson Etienne,20.451428571428572,4.0476190476190474,1.2380952380952381,1.2857142857142858,13.88,7,False,1
Cameron Johnson,Brooklyn,Nets,Dariq Whitehead,17.583802308802305,4.895622895622896,0.835016835016835,1.117845117845118,10.735317460317457,11,False,2
Cameron Johnson,Brooklyn,Nets,Maxwell Lewis,15.54355769230769,3.2500000000000004,0.8,1.5499999999999998,9.943557692307689,10,False,3
Cameron Johnson,Brooklyn,Nets,Reece Beekman,13.917876728110596,1.9377880184331797,1.3179723502304146,0.5368663594470046,10.125249999999998,14,False,4
Cameron Johnson,Brooklyn,Nets,Keon Johnson,12.416290106951873,3.9705882352941178,2.264705882352941,0.7683823529411766,5.412613636363638,16,False,5
Coby White,Chicago,Bulls,Talen Horton-Tucker,8.550097402597405,4.189935064935065,0.7110389610389611,0.6623376623376624,2.986785714285716,8,False,1
Coby White,Chicago,Bulls,Dalen Terry,8.002451690821257,2.2638888888888893,0.41666666666666674,0.6805555555555556,4.641340579710144,8,False,2
Coby White,Chicago,Bulls,Julian Phillips,7.029037935748463,2.1525974025974026,0.5714285714285714,0.7840909090909092,3.5209210526315804,8,False,3
Coby White,Chicago,Bulls,Jalen Smith,5.705784222514518,2.0489236790606657,-0.0606653620352251,1.471624266144815,2.245901639344263,7,False,4
Coby White,Chicago,Bulls,Patrick Williams,4.462314388120843,0.04761904761904745,1.2222222222222223,0.5000000000000004,2.6924731182795725,6,False,5
Damian Lillard,Milwaukee,Bucks,Ryan Rollins,25.975689086847552,6.908466819221968,2.0373760488176966,1.7925247902364605,15.237321428571429,23,False,1
Damian Lillard,Milwaukee,Bucks,Delon Wright,18.208229813664595,1.7228260869565217,3.5434782608695654,2.1847826086956523,10.757142857142856,8,False,2
Damian Lillard,Milwaukee,Bucks,Kevin Porter Jr.,15.941063596491226,3.9868421052631575,1.7598684210526314,1.7828947368421053,8.411458333333332,16,False,3
Damian Lillard,Milwaukee,Bucks,Pete Nance,15.854999999999999,2.625,0.625,0.75,11.854999999999999,8,False,4
Damian Lillard,Milwaukee,Bucks,Jamaree Bouyea,11.552222222222223,0.6666666666666667,0.5,0.5555555555555556,9.83,9,False,5
Darius Garland,Cleveland,Cavaliers,Tristan Thompson,21.122857142857143,1.6222222222222222,-0.07777777777777778,5.188888888888888,14.389523809523812,5,False,1
Darius Garland,Cleveland,Cavaliers,Craig Porter Jr.,17.87251446654611,5.483544303797468,1.6379746835443039,1.1139240506329116,9.637071428571428,5,False,2
Darius Garland,Cleveland,Cavaliers,Jaylon Tyson,17.40259971509972,4.728395061728396,0.37037037037037035,0.6419753086419753,11.661858974358976,5,False,3
Darius Garland,Cleveland,Cavaliers,Javonte Green,10.07904761904762,1.0333333333333334,0.5,0.2333333333333334,8.312380952380952,5,False,4
Darius Garland,Cleveland,Cavaliers,Isaac Okoro,4.4388095238095255,0.7015873015873018,-0.3587301587301588,-0.1428571428571428,4.238809523809525,5,False,5
Davion Mitchell,Miami,Heat,Terry Rozier,21.17135746943115,8.111483253588517,1.8043062200956939,2.5086124401913876,8.746955555555552,55,False,1
Davion Mitchell,Miami,Heat,Jaime Jaquez Jr.,15.709345045045046,3.91990171990172,1.1837837837837837,1.8746928746928746,8.730966666666667,55,False,2
Davion Mitchell,Miami,Heat,Isaiah Stevens,12.216742424242424,0.5454545454545454,1.0909090909090908,0.32121212121212117,10.259166666666667,11,False,3
Davion Mitchell,Miami,Heat,Nikola Jovic,9.713702553485152,5.110822510822511,1.6562770562770561,1.4424242424242422,1.5041787439613437,55,False,4
Davion Mitchell,Miami,Heat,Dru Smith,6.758620689655173,3.8620689655172415,1.3103448275862069,1.5862068965517242,,29,False,5
