STAR_OUT,TEAM_CITY,TEAM_NAME,BENEFICIARY,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE
Anthony Davis,Dallas,Mavericks,Markieff Morris,0.0,,,,,52,False
Anthony Davis,Dallas,Mavericks,Maxi Kleber,0.0,,,,,40,False
Anthony Davis,Dallas,Mavericks,Moses Brown,0.0,,,,,5,False
Anthony Davis,Dallas,Mavericks,Quentin Grimes,0.0,,,,,52,False
Anthony Davis,Los Angeles,Lakers,Alex Len,0.0,,,,,34,False
Anthony Davis,Los Angeles,Lakers,Luka Doncic,0.0,,,,,32,False
Anthony Davis,Los Angeles,Lakers,Markieff Morris,0.0,,,,,36,False
Brandon Ingram,New Orleans,Pelicans,Bruce Brown,0.0,,,,,27,False
Brandon Ingram,New Orleans,Pelicans,Kelly Olynyk,0.0,,,,,22,False
Brandon Ingram,New Orleans,Pelicans,Kylor Kelley,0.0,,,,,5,False
Brandon Ingram,New Orleans,Pelicans,Lester Quinones,0.0,,,,,10,False
Brandon Ingram,New Orleans,Pelicans,Mo Bamba,0.0,,,,,5,False
Brandon Miller,Charlotte,Hornets,Damion Baugh,14.333333333333334,7.266666666666667,3.7333333333333334,3.3333333333333335,,15,False
Brandon Miller,Charlotte,Hornets,Elfrid Payton,0.0,,,,,9,False
Brandon Miller,Charlotte,Hornets,Jaylen Sims,0.0,,,,,6,False
Brandon Miller,Charlotte,Hornets,Malachi Flynn,0.0,,,,,6,False
Brandon Miller,Charlotte,Hornets,Wendell Moore Jr.,8.8125,4.9375,1.0625,2.8125,,16,False
CJ McCollum,New Orleans,Pelicans,Jaylen Nowell,0.0,,,,,9,False
CJ McCollum,New Orleans,Pelicans,Kylor Kelley,0.0,,,,,5,False
Cam Thomas,Brooklyn,Nets,Drew Timme,0.0,,,,,9,False
Cam Thomas,Brooklyn,Nets,Tyson Etienne,8.444444444444443,6.111111111111111,1.3333333333333333,1.0,,9,False
Davion Mitchell,Miami,Heat,Dru Smith,6.758620689655173,3.8620689655172415,1.3103448275862069,1.5862068965517242,,29,False
Davion Mitchell,Miami,Heat,Jimmy Butler,0.0,,,,,48,False
Davion Mitchell,Miami,Heat,Josh Richardson,0.0,,,,,43,False
Davion Mitchell,Miami,Heat,Nassir Little,0.0,,,,,5,False
Davion Mitchell,Miami,Heat,Thomas Bryant,0.0,,,,,28,False
Davion Mitchell,Miami,Heat,Zyon Pullin,0.0,,,,,5,False
De'Aaron Fox,Sacramento,Kings,Jake LaRavia,0.0,,,,,19,False
De'Aaron Fox,Sacramento,Kings,Jonas Valanciunas,0.0,,,,,33,False
De'Aaron Fox,Sacramento,Kings,Markelle Fultz,0.0,,,,,29,False
De'Aaron Fox,Sacramento,Kings,Zach LaVine,0.0,,,,,33,False
De'Aaron Fox,San Antonio,Spurs,Brandon Boston Jr.,0.0,,,,,5,False
De'Aaron Fox,San Antonio,Spurs,Harrison Ingram,2.3846153846153846,0.6153846153846154,0.38461538461538464,1.3846153846153846,,13,False
De'Aaron Fox,San Antonio,Spurs,Malachi Flynn,0.0,,,,,5,False
De'Aaron Fox,San Antonio,Spurs,Riley Minix,4.428571428571429,3.2857142857142856,0.0,1.1428571428571428,,7,False
De'Aaron Fox,San Antonio,Spurs,Sidy Cissoko,0.0,,,,,44,False
De'Aaron Fox,San Antonio,Spurs,Tre Jones,0.0,,,,,33,False
De'Aaron Fox,San Antonio,Spurs,Zach Collins,0.0,,,,,47,False
Dejounte Murray,New Orleans,Pelicans,Jaylen Nowell,0.0,,,,,9,False
Dejounte Murray,New Orleans,Pelicans,Kylor Kelley,0.0,,,,,5,False
Dejounte Murray,New Orleans,Pelicans,Lester Quinones,10.444444444444445,6.666666666666667,2.2222222222222223,1.5555555555555556,,9,False
Dennis Schroder,Brooklyn,Nets,D'Angelo Russell,0.0,,,,,38,False
Dennis Schroder,Brooklyn,Nets,Drew Timme,0.0,,,,,9,False
Dennis Schroder,Brooklyn,Nets,Killian Hayes,0.0,,,,,6,False
Dennis Schroder,Brooklyn,Nets,Maxwell Lewis,0.0,,,,,30,False
Dennis Schroder,Brooklyn,Nets,Reece Beekman,0.0,,,,,45,False
Dennis Schroder,Brooklyn,Nets,Tosan Evbuomwan,0.0,,,,,30,False
Dennis Schroder,Brooklyn,Nets,Tyson Etienne,0.0,,,,,10,False
Devin Vassell,San Antonio,Spurs,Riley Minix,6.199999999999999,4.6,0.0,1.6,,5,False
Domantas Sabonis,Sacramento,Kings,Jae Crowder,-0.9245283018867925,-0.4339622641509434,-0.11320754716981132,-0.37735849056603776,,8,False
Herbert Jones,New Orleans,Pelicans,Jaylen Nowell,0.0,,,,,9,False
Herbert Jones,New Orleans,Pelicans,Kylor Kelley,0.0,,,,,5,False
Herbert Jones,New Orleans,Pelicans,Lester Quinones,10.444444444444445,6.666666666666667,2.2222222222222223,1.5555555555555556,,9,False
Jalen Brunson,New York,Knicks,MarJon Beauchamp,2.5,1.5,0.1,0.9,,10,False
Jimmy Butler,Golden State,Warriors,Andrew Wiggins,0.0,,,,,51,False
Jimmy Butler,Golden State,Warriors,Blake Hinson,0.0,,,,,6,False
Jimmy Butler,Golden State,Warriors,De'Anthony Melton,0.0,,,,,12,False
Jimmy Butler,Golden State,Warriors,Dennis Schroder,0.0,,,,,25,False
Jimmy Butler,Golden State,Warriors,Kyle Anderson,0.0,,,,,51,False
Jimmy Butler,Golden State,Warriors,Lindy Waters III,0.0,,,,,56,False
Jimmy Butler,Golden State,Warriors,Reece Beekman,0.0,,,,,8,False
Joel Embiid,Philadelphia,76ers,Colin Castleton,0.0,,,,,5,False
Joel Embiid,Philadelphia,76ers,Marcus Bagley,0.0,,,,,10,False
Joel Embiid,Philadelphia,76ers,Phillip Wheeler,0.0,,,,,5,False
Kyle Kuzma,Milwaukee,Bucks,AJ Johnson,0.0,,,,,20,False
Kyle Kuzma,Milwaukee,Bucks,Delon Wright,0.0,,,,,54,False
Kyle Kuzma,Milwaukee,Bucks,Khris Middleton,0.0,,,,,27,False
Kyle Kuzma,Milwaukee,Bucks,Liam Robbins,2.0,0.8928571428571429,0.2857142857142857,0.8214285714285714,,28,False
Kyle Kuzma,Milwaukee,Bucks,MarJon Beauchamp,0.0,,,,,49,False
Kyrie Irving,Dallas,Mavericks,Caleb Martin,7.0476190476190474,3.5714285714285716,1.380952380952381,2.0952380952380953,,21,False
LaMelo Ball,Charlotte,Hornets,Grant Williams,-11.444444444444445,-6.666666666666667,-1.5185185185185186,-3.259259259259259,,20,False
LaMelo Ball,Charlotte,Hornets,Jaylen Sims,0.0,,,,,6,False
Luka Doncic,Dallas,Mavericks,Anthony Davis,0.0,,,,,13,False
Luka Doncic,Dallas,Mavericks,Caleb Martin,0.0,,,,,24,False
Luka Doncic,Dallas,Mavericks,Dante Exum,11.076923076923077,7.230769230769231,2.3846153846153846,1.4615384615384615,,26,False
Luka Doncic,Dallas,Mavericks,Kai Jones,0.0,,,,,12,False
Luka Doncic,Dallas,Mavericks,Kylor Kelley,0.0,,,,,13,False
Luka Doncic,Dallas,Mavericks,Max Christie,0.0,,,,,34,False
Luka Doncic,Dallas,Mavericks,Moses Brown,0.0,,,,,5,False
Luka Doncic,Los Angeles,Lakers,Anthony Davis,0.0,,,,,50,False
Luka Doncic,Los Angeles,Lakers,Armel Traore,0.0,,,,,30,False
Luka Doncic,Los Angeles,Lakers,Cam Reddish,4.2075471698113205,2.2830188679245285,0.4716981132075472,1.4528301886792452,,53,False
Luka Doncic,Los Angeles,Lakers,Christian Wood,0.0,,,,,9,False
Luka Doncic,Los Angeles,Lakers,Colin Castleton,0.0,,,,,6,False
Luka Doncic,Los Angeles,Lakers,D'Angelo Russell,0.0,,,,,36,False
Luka Doncic,Los Angeles,Lakers,Jalen Hood-Schifino,0.0,,,,,12,False
Luka Doncic,Los Angeles,Lakers,Kylor Kelley,0.0,,,,,5,False
Luka Doncic,Los Angeles,Lakers,Max Christie,0.0,,,,,53,False
Luka Doncic,Los Angeles,Lakers,Maxwell Lewis,0.0,,,,,28,False
Luka Doncic,Los Angeles,Lakers,Quincy Olivari,0.0,,,,,15,False
Paul George,Philadelphia,76ers,Colin Castleton,0.0,,,,,5,False
Paul George,Philadelphia,76ers,Marcus Bagley,0.0,,,,,10,False
Paul George,Philadelphia,76ers,Phillip Wheeler,0.0,,,,,5,False
Quentin Grimes,Philadelphia,76ers,Caleb Martin,0.0,,,,,41,False
Quentin Grimes,Philadelphia,76ers,Jared McCain,19.214285714285715,14.321428571428571,2.3214285714285716,2.5714285714285716,,28,False
Quentin Grimes,Philadelphia,76ers,Kenyon Martin Jr.,0.0,,,,,33,False
Quentin Grimes,Philadelphia,76ers,Lester Quinones,0.0,,,,,14,False
Quentin Grimes,Philadelphia,76ers,Pete Nance,0.0,,,,,18,False
Tobias Harris,Detroit,Pistons,Tolu Smith,-3.7777777777777777,-2.111111111111111,-0.1111111111111111,-1.5555555555555556,,5,False
Trey Murphy III,New Orleans,Pelicans,Kylor Kelley,0.0,,,,,5,False
Trey Murphy III,New Orleans,Pelicans,Lester Quinones,10.444444444444445,6.666666666666667,2.2222222222222223,1.5555555555555556,,9,False
Zach LaVine,Chicago,Bulls,Emanuel Miller,0.0,,,,,14,False
Zach LaVine,Chicago,Bulls,Jahmir Young,0.0,,,,,12,False
Zach LaVine,Chicago,Bulls,Kevin Huerter,0.0,,,,,28,False
Zach LaVine,Chicago,Bulls,Tre Jones,0.0,,,,,18,False
Zach LaVine,Chicago,Bulls,Zach Collins,0.0,,,,,31,False
Zach LaVine,Sacramento,Kings,Boogie Ellis,0.0,,,,,5,False
Zach LaVine,Sacramento,Kings,Brodric Thomas,0.0,,,,,5,False
