STAR_OUT,TEAM_CITY,TEAM_NAME,BENEFICIARY,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE
Trae Young,Atlanta,Hawks,Keaton Wallace,38.84907407407408,10.344444444444445,5.977777777777778,3.5222222222222226,19.004629629629633,6,False
Paul George,Philadelphia,76ers,Chuma Okeke,38.5,8.799999999999999,2.1999999999999997,7.0,20.5,5,False
Trey Murphy III,New Orleans,Pelicans,Keion Brooks Jr.,35.504747474747475,9.972222222222221,0.8055555555555556,3.4166666666666665,21.31030303030303,12,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Dillon Jones,35.15481116584565,7.959770114942529,1.632183908045977,4.333333333333334,21.22952380952381,6,False
Joel Embiid,Philadelphia,76ers,Chuma Okeke,34.91666666666667,7.166666666666667,1.75,5.5,20.5,6,False
Josh Hart,New York,Knicks,Precious Achiuwa,32.239483933787724,8.678481012658228,0.9164556962025318,5.625316455696202,17.019230769230766,5,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Kenrich Williams,32.180234031132585,9.776086956521738,1.6,4.147826086956522,16.656320987654325,5,False
Joel Embiid,Philadelphia,76ers,Lonnie Walker IV,31.111303258145362,11.761904761904763,2.380952380952381,1.9047619047619047,15.063684210526317,21,False
Jalen Williams,Oklahoma City,Thunder,Branden Carlson,30.826584415584417,8.96969696969697,1.0075757575757576,3.2954545454545454,17.553857142857144,6,False
CJ McCollum,New Orleans,Pelicans,Keion Brooks Jr.,30.520000000000003,11.142857142857142,0.6428571428571428,3.8571428571428568,14.87714285714286,7,False
OG Anunoby,New York,Knicks,Precious Achiuwa,30.499012658227855,7.827848101265823,1.129113924050633,3.924050632911392,17.618000000000006,5,False
Tyrese Haliburton,Indiana,Pacers,Johnny Furphy,30.19221178050008,2.9485148514851485,0.8514851485148515,2.8059405940594058,23.586271186440676,5,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Jaylin Williams,29.93064218455744,7.491666666666665,5.3694444444444445,5.541666666666666,11.52786440677966,5,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Aaron Wiggins,29.671065292096223,14.473333333333333,2.6,1.67,10.927731958762891,6,False
LaMelo Ball,Charlotte,Hornets,Vasilije Micic,29.640347222222225,9.027777777777779,4.083333333333333,1.9027777777777777,14.626458333333334,16,False
Nikola Vucevic,Chicago,Bulls,Zach Collins,29.46316017316018,8.36904761904762,1.5595238095238095,6.416666666666667,13.117922077922081,7,False
Michael Porter Jr.,Denver,Nuggets,Jalen Pickett,29.150413943355122,6.868627450980393,3.7862745098039214,3.13921568627451,15.356296296296296,6,False
Herbert Jones,New Orleans,Pelicans,Keion Brooks Jr.,28.84072398190045,7.588235294117647,0.7058823529411765,2.823529411764706,17.72307692307692,17,False
Dejounte Murray,New Orleans,Pelicans,Keion Brooks Jr.,28.84072398190045,7.588235294117647,0.7058823529411765,2.823529411764706,17.72307692307692,17,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Branden Carlson,28.810190476190478,9.066666666666666,1.0222222222222221,3.4444444444444446,15.276857142857143,5,False
Brandon Ingram,New Orleans,Pelicans,Keion Brooks Jr.,28.22307692307692,7.166666666666667,0.6666666666666666,2.6666666666666665,17.72307692307692,18,False
Fred VanVleet,Houston,Rockets,Reed Sheppard,27.090402116402117,8.75,1.4761904761904763,0.8809523809523809,15.983259259259261,6,False
Tyrese Maxey,Philadelphia,76ers,Jared McCain,26.4532298136646,14.297101449275363,2.217391304347826,-0.18840579710144922,10.12714285714286,6,False
Brandon Ingram,New Orleans,Pelicans,Karlo Matkovic,26.393607932875668,6.615942028985507,0.9782608695652174,3.8478260869565215,14.95157894736842,46,False
CJ McCollum,New Orleans,Pelicans,Brandon Boston Jr.,26.095488060326772,6.316883116883117,3.464935064935065,2.6233766233766236,13.69029325513197,11,False
Damian Lillard,Milwaukee,Bucks,Ryan Rollins,25.975689086847552,6.908466819221968,2.0373760488176966,1.7925247902364605,15.237321428571429,23,False
Miles Bridges,Charlotte,Hornets,LaMelo Ball,25.690060908084156,16.112956810631225,0.6677740863787376,2.2724252491694354,6.636904761904759,7,False
Keegan Murray,Sacramento,Kings,Trey Lyles,25.542329670329682,6.128571428571429,0.7428571428571429,3.1142857142857148,15.556615384615395,5,False
Evan Mobley,Cleveland,Cavaliers,Emoni Bates,25.536944444444444,4.333333333333333,0.06666666666666671,1.1444444444444444,19.9925,5,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Isaiah Joe,25.491307669810627,8.27491408934708,3.324742268041237,2.1271477663230236,11.764503546099288,6,False
LeBron James,Los Angeles,Lakers,Jordan Goodwin,25.289633333333338,5.641666666666667,1.6083333333333334,2.908333333333333,15.131300000000005,8,False
Jimmy Butler,Golden State,Warriors,Trayce Jackson-Davis,25.12295638861304,5.430622009569378,1.7779106858054226,4.580940988835725,13.333482704402517,57,False
Brandon Miller,Charlotte,Hornets,Nick Smith Jr.,24.83635516233111,7.250574712643678,1.8268199233716478,1.2000000000000002,14.558960526315785,45,False
Dyson Daniels,Atlanta,Hawks,Garrison Mathews,24.662758807588077,10.231707317073171,1.9780487804878049,1.048780487804878,11.404222222222224,5,False
Paolo Banchero,Orlando,Magic,ga Bitadze,24.65795156534287,6.066425120772946,1.434782608695652,4.0978260869565215,13.058917748917752,36,False
Jaren Jackson Jr.,Memphis,Grizzlies,Marvin Bagley III,24.608981481481482,5.092592592592593,0.46296296296296297,2.4259259259259256,16.6275,6,False
Tyrese Maxey,Philadelphia,76ers,Lonnie Walker IV,24.44916666666667,9.216666666666667,2.033333333333333,1.7416666666666667,11.457500000000003,8,False
Donovan Mitchell,Cleveland,Cavaliers,Emoni Bates,24.40855392156863,4.137254901960785,0.4313725490196078,0.9411764705882353,18.89875,6,False
Andrew Wiggins,Miami,Heat,Terry Rozier,24.23124384236453,8.541871921182267,1.958128078817734,2.4837438423645324,11.247499999999999,58,False
Dejounte Murray,New Orleans,Pelicans,Brandon Ingram,24.085785714285713,10.057142857142857,4.095238095238096,3.0952380952380953,6.838166666666666,15,False
Domantas Sabonis,Sacramento,Kings,Jonas Valanciunas,23.86791666666667,4.708333333333333,1.7916666666666667,5.638888888888889,11.72902777777778,9,False
Franz Wagner,Orlando,Magic,ga Bitadze,22.919484649122808,6.246527777777779,1.9565972222222223,4.618055555555555,10.098304093567254,18,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Ousmane Dieng,22.84288732394366,1.163380281690141,0.022535211267605604,1.0619718309859154,20.595,5,False
Julius Randle,Minnesota,Timberwolves,Naz Reid,22.784803141415715,7.047745358090184,1.3651635720601236,4.392572944297083,9.979321266968324,13,False
Luka Doncic,Dallas,Mavericks,Kessler Edwards,22.66019607843137,4.421052631578948,1.0164473684210527,2.9375,14.28519607843137,38,False
Rudy Gobert,Minnesota,Timberwolves,Terrence Shannon Jr.,22.640915915915915,8.186486486486485,0.8540540540540541,2.5864864864864865,11.01388888888889,10,False
Paul George,Philadelphia,76ers,Lonnie Walker IV,22.523333333333337,9.482142857142858,1.8928571428571428,0.8571428571428572,10.29119047619048,16,False
Brandon Miller,Charlotte,Hornets,KJ Simpson,22.491008333333333,5.253333333333334,2.013333333333333,1.906666666666667,13.317675000000001,30,False
Bilal Coulibaly,Washington,Wizards,Jaylen Martin,22.3917012987013,4.649350649350649,1.4545454545454546,2.1948051948051948,14.093000000000002,11,False
Franz Wagner,Orlando,Magic,Trevelin Queen,22.38768429261657,5.526315789473684,1.555023923444976,1.3413078149920254,13.965036764705882,19,False
Kyrie Irving,Dallas,Mavericks,Brandon Williams,22.282841249543296,8.366459627329192,2.227329192546584,1.7304347826086959,9.958617647058821,23,False
Dejounte Murray,New Orleans,Pelicans,Karlo Matkovic,22.24595305279516,6.48582995951417,0.8407557354925776,3.403508771929825,11.515858585858584,39,False
Giannis Antetokounmpo,Milwaukee,Bucks,Chris Livingston,22.20507792207792,1.9220779220779218,0.23116883116883116,1.1688311688311688,18.883,7,False
Nikola Jokic,Denver,Nuggets,DeAndre Jordan,21.95703823953823,2.958333333333333,0.8674242424242424,4.477272727272727,13.65400793650793,12,False
Rudy Gobert,Minnesota,Timberwolves,Naz Reid,21.901878787878793,5.300000000000001,1.422222222222222,4.51111111111111,10.668545454545459,10,False
Bilal Coulibaly,Washington,Wizards,AJ Johnson,21.85119047619047,7.283333333333333,1.2,2.05,11.31785714285714,15,False
Luka Doncic,Dallas,Mavericks,Spencer Dinwiddie,21.84892234131988,6.970365699873897,3.131778058007566,1.7364438839848675,10.010334699453551,61,False
Cam Thomas,Brooklyn,Nets,Shake Milton,21.563597513597514,6.79020979020979,1.6993006993006992,1.8146853146853146,11.259401709401711,13,False
Julius Randle,Minnesota,Timberwolves,Terrence Shannon Jr.,21.46242951414782,6.794149512459371,1.3542795232936078,2.304442036836403,11.00955844155844,13,False
Jamal Murray,Denver,Nuggets,Jalen Pickett,21.461555402417666,4.369298245614035,2.837719298245614,2.0342105263157895,12.220327332242226,15,False
Dyson Daniels,Atlanta,Hawks,Keaton Wallace,21.451937888198756,7.569565217391304,3.408695652173913,2.8173913043478263,7.656285714285712,5,False
Zach LaVine,Chicago,Bulls,Matas Buzelis,21.424363143631435,6.855284552845528,0.9344173441734418,1.8612466124661249,11.773414634146341,41,False
Quentin Grimes,Philadelphia,76ers,Tyrese Maxey,21.29506684412895,16.256802721088434,3.2993197278911564,1.8120748299319727,-0.0731304347826125,49,False
Rui Hachimura,Los Angeles,Lakers,Markieff Morris,21.183929765886283,1.819397993311037,0.8260869565217391,1.0334448160535117,17.504999999999995,13,False
Davion Mitchell,Miami,Heat,Terry Rozier,21.17135746943115,8.111483253588517,1.8043062200956939,2.5086124401913876,8.746955555555552,55,False
Darius Garland,Cleveland,Cavaliers,Tristan Thompson,21.122857142857143,1.6222222222222222,-0.07777777777777778,5.188888888888888,14.389523809523812,5,False
Josh Hart,New York,Knicks,Miles McBride,21.071076086956527,7.056521739130434,2.9239130434782608,2.217391304347826,8.873250000000006,5,False
Dennis Schroder,Brooklyn,Nets,Shake Milton,21.02285714285714,7.464285714285714,1.6785714285714284,1.3571428571428572,10.52285714285714,7,False
LeBron James,Los Angeles,Lakers,Markieff Morris,20.976666666666667,3.892857142857143,1.4821428571428572,1.875,13.726666666666667,8,False
Miles Bridges,Charlotte,Hornets,Brandon Miller,20.95068825910931,9.515384615384615,0.3884615384615384,2.5769230769230766,8.46991902834008,13,False
Franz Wagner,Orlando,Magic,Tristan da Silva,20.94218227046585,5.558344640434192,1.1065128900949794,2.3229308005427414,11.954393939393938,22,False
Dennis Schroder,Brooklyn,Nets,Keon Johnson,20.817133723196875,7.1345029239766085,1.5009746588693955,1.5087719298245612,10.672884210526309,57,False
Brandon Miller,Charlotte,Hornets,Mark Williams,20.699649818871833,7.717267552182163,0.7666034155597725,5.08349146110057,7.1322873900293295,31,False
Cameron Johnson,Brooklyn,Nets,Tyson Etienne,20.451428571428572,4.0476190476190474,1.2380952380952381,1.2857142857142858,13.88,7,False
Michael Porter Jr.,Denver,Nuggets,Zeke Nnaji,20.35974816072439,4.896491228070175,0.9456140350877194,2.3754385964912283,12.142204301075267,6,False
Paul George,Philadelphia,76ers,Jared Butler,20.334295454545455,6.327272727272727,2.813636363636364,0.9136363636363634,10.27975,20,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Adam Flagler,20.261809523809525,3.791666666666666,1.7083333333333333,1.9583333333333335,12.803476190476193,6,False
Jalen Williams,Oklahoma City,Thunder,Isaiah Joe,20.158735094692545,8.417257683215132,1.0567375886524824,1.2210401891252958,9.463699633699633,9,False
Nikola Jokic,Denver,Nuggets,Dario Saric,19.963049450549445,3.7142857142857144,1.9880952380952381,2.9404761904761907,11.320192307692302,12,False
LeBron James,Los Angeles,Lakers,Dalton Knecht,19.946361539795383,6.962025316455696,0.42784810126582273,2.358227848101266,10.198260273972597,10,False
Rui Hachimura,Los Angeles,Lakers,Jordan Goodwin,19.929313186813182,4.621794871794871,1.4294871794871797,2.564102564102564,11.31392857142857,12,False
Dennis Schroder,Brooklyn,Nets,Tyrese Martin,19.792481684981688,5.398351648351648,1.5178571428571428,2.6277472527472527,10.248525641025642,56,False
Donovan Mitchell,Cleveland,Cavaliers,Craig Porter Jr.,19.735251572327044,6.746666666666666,0.9288888888888889,1.6711111111111112,10.388584905660377,9,False
Kyrie Irving,Dallas,Mavericks,Kessler Edwards,19.656562251877645,6.135084427767355,0.39399624765478414,1.75422138836773,11.373260188087775,13,False
LaMelo Ball,Charlotte,Hornets,KJ Simpson,19.594962422634843,6.359416445623341,2.7480106100795756,1.8381962864721486,8.649339080459775,29,False
Paolo Banchero,Orlando,Magic,Tristan da Silva,19.5392216371703,5.266771488469601,1.029874213836478,2.2410901467505244,11.001485788113696,36,False
Kelly Oubre Jr.,Philadelphia,76ers,Adem Bona,19.486515426497284,7.597368421052632,0.25789473684210523,3.452631578947369,8.178620689655176,5,False
Jalen Williams,Oklahoma City,Thunder,Dillon Jones,19.31607888316617,3.4970588235294118,1.1691176470588234,2.885294117647059,11.764608294930875,8,False
Giannis Antetokounmpo,Milwaukee,Bucks,Bobby Portis,19.284066666666668,5.0892857142857135,2.489285714285714,3.2214285714285715,8.484066666666667,10,False
Jaren Jackson Jr.,Memphis,Grizzlies,Lamar Stevens,19.230666666666664,7.006666666666666,0.88,2.2466666666666666,9.09733333333333,6,False
Nikola Jokic,Denver,Nuggets,Spencer Jones,19.20734335839599,2.238095238095238,0.26190476190476186,1.0952380952380951,15.612105263157892,6,False
Giannis Antetokounmpo,Milwaukee,Bucks,Tyler Smith,19.156122222222223,2.7152777777777777,0.3125,0.7152777777777778,15.413066666666667,9,False
Joel Embiid,Philadelphia,76ers,Adem Bona,19.10425437062937,4.7615384615384615,0.3006993006993007,3.4083916083916086,10.633624999999997,55,False
DeMar DeRozan,Sacramento,Kings,De'Aaron Fox,18.996828282828282,14.733333333333334,1.6000000000000005,-0.17777777777777803,2.841272727272724,5,False
CJ McCollum,New Orleans,Pelicans,Lester Quinones,18.93333333333333,6.19047619047619,2.857142857142857,2.0,7.885714285714284,7,False
Anthony Davis,Los Angeles,Lakers,Jordan Goodwin,18.834005681818184,4.515151515151516,1.0424242424242425,2.624242424242424,10.6521875,33,False
Domantas Sabonis,Sacramento,Kings,Jake LaRavia,18.737857142857138,6.25,0.6309523809523809,1.8333333333333335,10.023571428571424,7,False
Giannis Antetokounmpo,Milwaukee,Bucks,Damian Lillard,18.509024590163943,11.422950819672128,2.226229508196722,1.4393442622950818,3.420500000000011,5,False
Rudy Gobert,Minnesota,Timberwolves,Jaden McDaniels,18.46113807931199,7.756521739130436,1.5499999999999998,2.573913043478261,6.580703296703295,10,False
Kawhi Leonard,Los Angeles,Clippers,Bogdan Bogdanovic,18.38133004926108,7.96551724137931,0.2512315270935961,0.6748768472906406,9.489704433497536,7,False
Rui Hachimura,Los Angeles,Lakers,Dalton Knecht,18.259545347744357,7.924060150375939,0.22857142857142854,1.3030075187969925,8.803906249999997,19,False
Tyrese Maxey,Philadelphia,76ers,Marcus Bagley,18.25,6.166666666666666,0.41666666666666674,3.75,7.916666666666668,6,False
Brandon Ingram,New Orleans,Pelicans,Trey Murphy III,18.215488770685578,9.792553191489361,2.0124113475177303,2.5638297872340425,3.846694444444445,47,False
Damian Lillard,Milwaukee,Bucks,Delon Wright,18.208229813664595,1.7228260869565217,3.5434782608695654,2.1847826086956523,10.757142857142856,8,False
LeBron James,Los Angeles,Lakers,Austin Reaves,18.1310472972973,9.341216216216218,3.489864864864865,2.216216216216216,3.083750000000002,8,False
Jalen Williams,Oklahoma City,Thunder,Kenrich Williams,18.127366938616937,4.243686868686869,0.8888888888888888,2.1073232323232323,10.887467948717948,9,False
CJ McCollum,New Orleans,Pelicans,Jeremiah Robinson-Earl,18.067636111111113,5.317708333333334,0.42013888888888884,3.7152777777777777,8.614511111111113,18,False
Dejounte Murray,New Orleans,Pelicans,Bruce Brown,18.066520146520148,4.576923076923077,1.8076923076923077,2.5,9.181904761904764,26,False
Nikola Vucevic,Chicago,Bulls,Josh Giddey,18.034014084507042,6.408450704225352,3.185446009389672,1.908450704225352,6.531666666666666,6,False
Julius Randle,Minnesota,Timberwolves,Jaden McDaniels,17.975451009664496,7.057044079515988,1.170267934312878,3.216076058772688,6.532062937062943,13,False
Lauri Markkanen,Utah,Jazz,Kyle Filipowski,17.951657589572562,6.2122448979591836,0.5136054421768705,3.5251700680272116,7.700637181409299,30,False
Darius Garland,Cleveland,Cavaliers,Craig Porter Jr.,17.87251446654611,5.483544303797468,1.6379746835443039,1.1139240506329116,9.637071428571428,5,False
Lauri Markkanen,Utah,Jazz,Micah Potter,17.81356983144135,4.113003095975232,0.7291021671826625,3.9845201238390096,8.986944444444443,19,False
Victor Wembanyama,San Antonio,Spurs,Zach Collins,17.71111607142857,7.496428571428571,-0.039285714285714146,1.9500000000000002,8.303973214285714,7,False
Jalen Brunson,New York,Knicks,Delon Wright,17.67779761904762,2.6857142857142855,1.3285714285714285,1.1714285714285715,12.492083333333335,14,False
Anthony Davis,Dallas,Mavericks,Dereck Lively II,17.676537324464157,5.496674057649667,1.5166297117516632,4.29490022172949,6.368333333333336,41,False
Keegan Murray,Sacramento,Kings,Keon Ellis,17.645442073170727,3.2764227642276413,0.3455284552845528,1.9186991869918697,12.104791666666664,6,False
CJ McCollum,New Orleans,Pelicans,Brandon Ingram,17.60977272727272,8.181818181818182,3.4545454545454546,1.545454545454545,4.42795454545454,11,False
Cameron Johnson,Brooklyn,Nets,Dariq Whitehead,17.583802308802305,4.895622895622896,0.835016835016835,1.117845117845118,10.735317460317457,11,False
Anthony Davis,Dallas,Mavericks,Olivier-Maxence Prosper,17.44333860342556,3.4927536231884058,0.6666666666666666,1.572463768115942,11.711454545454547,69,False
LeBron James,Los Angeles,Lakers,Bronny James,17.409655172413792,3.333333333333333,1.6091954022988504,0.9885057471264367,11.478620689655173,6,False
Darius Garland,Cleveland,Cavaliers,Jaylon Tyson,17.40259971509972,4.728395061728396,0.37037037037037035,0.6419753086419753,11.661858974358976,5,False
Fred VanVleet,Houston,Rockets,Aaron Holiday,17.400465116279072,8.023255813953488,1.697674418604651,0.806201550387597,6.873333333333335,6,False
Luka Doncic,Dallas,Mavericks,Brandon Williams,17.27269435215947,5.489922480620155,1.6666666666666667,0.9255813953488371,9.19052380952381,43,False
Herbert Jones,New Orleans,Pelicans,Karlo Matkovic,17.265487326637974,3.414634146341464,0.6814921090387374,2.028694404591105,11.140666666666668,41,False
Nikola Vucevic,Chicago,Bulls,Matas Buzelis,17.250290542790545,4.096153846153847,1.9038461538461537,1.8301282051282053,9.42016233766234,8,False
Herbert Jones,New Orleans,Pelicans,Antonio Reeves,17.23507246376812,4.248695652173913,0.2921739130434783,1.0208695652173914,11.67333333333334,46,False
Lauri Markkanen,Utah,Jazz,Oscar Tshiebwe,17.093809523809526,4.19047619047619,0.3333333333333333,4.833333333333334,7.736666666666668,21,False
Jalen Brunson,New York,Knicks,Landry Shamet,17.050882352941176,5.103174603174605,-0.12698412698412703,1.2380952380952381,10.836596638655461,14,False
Jalen Williams,Oklahoma City,Thunder,Jaylin Williams,16.927899159663866,5.189542483660132,2.1372549019607843,3.0996732026143787,6.501428571428573,9,False
Fred VanVleet,Houston,Rockets,Jeff Green,16.80700317124736,4.647286821705426,1.5271317829457365,1.5503875968992247,9.082196969696973,6,False
Malik Monk,Sacramento,Kings,Kevin Huerter,16.795390109890107,2.3301282051282053,0.9647435897435896,1.7435897435897436,11.75692857142857,8,False
Evan Mobley,Cleveland,Cavaliers,Javonte Green,16.755666666666663,3.3666666666666667,1.2,2.1,10.088999999999999,5,False
Julius Randle,Minnesota,Timberwolves,Jaylen Clark,16.721424380704043,4.664928292046936,0.3533246414602347,0.7249022164276402,10.978269230769232,13,False
Devin Vassell,San Antonio,Spurs,Malaki Branham,16.706460040983607,5.768852459016394,0.7557377049180329,1.1565573770491804,9.025312499999998,20,False
Jaren Jackson Jr.,Memphis,Grizzlies,Cam Spencer,16.5970653907496,5.12280701754386,0.6491228070175438,0.17543859649122806,10.649696969696969,6,False
Paolo Banchero,Orlando,Magic,Jalen Suggs,16.51673371647509,8.145833333333334,1.4708333333333332,1.2374999999999998,5.662567049808423,30,False
Jayson Tatum,Boston,Celtics,Payton Pritchard,16.390962148962146,5.540293040293042,1.3919413919413923,1.4945054945054945,7.964222222222219,6,False
Kyrie Irving,Dallas,Mavericks,Quentin Grimes,16.35637915742793,6.372505543237249,1.9955654101995564,1.002217294900222,6.986090909090905,11,False
Jalen Brunson,New York,Knicks,Miles McBride,16.355702157038365,2.890804597701149,2.422988505747127,0.4494252873563216,10.592483766233766,10,False
Kevin Durant,Phoenix,Suns,Josh Okogie,16.34265134099617,6.006896551724139,0.45517241379310347,2.924137931034483,6.956444444444445,10,False
Austin Reaves,Los Angeles,Lakers,Dalton Knecht,16.29902402402402,3.7847222222222214,0.4472222222222223,2.415277777777778,9.651801801801799,9,False
Brandon Ingram,New Orleans,Pelicans,Elfrid Payton,16.183,2.1875,4.4375,1.0625,8.4955,16,False
Donovan Mitchell,Cleveland,Cavaliers,Tristan Thompson,16.067464985994402,0.15294117647058825,-0.19411764705882353,1.6941176470588237,14.414523809523814,10,False
Damian Lillard,Milwaukee,Bucks,Kevin Porter Jr.,15.941063596491226,3.9868421052631575,1.7598684210526314,1.7828947368421053,8.411458333333332,16,False
Paul George,Philadelphia,76ers,Adem Bona,15.925035573122528,4.653416149068324,0.32546583850931676,2.7863354037267083,8.15981818181818,35,False
Damian Lillard,Milwaukee,Bucks,Pete Nance,15.854999999999999,2.625,0.625,0.75,11.854999999999999,8,False
Malik Monk,Sacramento,Kings,De'Aaron Fox,15.842488385598132,11.916666666666668,1.1785714285714288,0.3452380952380949,2.402012195121941,8,False
Davion Mitchell,Miami,Heat,Jaime Jaquez Jr.,15.709345045045046,3.91990171990172,1.1837837837837837,1.8746928746928746,8.730966666666667,55,False
Jaren Jackson Jr.,Memphis,Grizzlies,Vince Williams Jr.,15.702056644880173,4.647058823529412,1.2176470588235295,2.6176470588235294,7.219703703703702,5,False
Kyle Kuzma,Milwaukee,Bucks,Andre Jackson Jr.,15.674467248712526,2.5818459969403365,1.0071392146863845,2.485976542580316,9.59950549450549,53,False
Cameron Johnson,Brooklyn,Nets,Maxwell Lewis,15.54355769230769,3.2500000000000004,0.8,1.5499999999999998,9.943557692307689,10,False
Stephen Curry,Golden State,Warriors,Lindy Waters III,15.525106177606183,2.291666666666667,1.375,1.0208333333333333,10.837606177606183,8,False
Andrew Wiggins,Miami,Heat,Jaime Jaquez Jr.,15.401641255312196,4.041604010025063,1.1684210526315788,1.9734335839598995,8.218182608695654,57,False
Brandon Miller,Charlotte,Hornets,Seth Curry,15.361611245896958,4.1498724489795915,0.8303571428571428,1.0146683673469388,9.366713286713285,49,False
Austin Reaves,Los Angeles,Lakers,Bronny James,15.323571428571432,1.7857142857142858,1.1428571428571428,0.5,11.895000000000003,8,False
CJ McCollum,New Orleans,Pelicans,Jamal Cain,15.163083592132503,5.4412698412698415,0.38095238095238093,1.8873015873015875,7.453559782608693,18,False
Kyrie Irving,Dallas,Mavericks,Spencer Dinwiddie,15.094765318313708,4.2788018433179715,2.4308755760368665,1.2079493087557602,7.177138590203111,31,False
Miles Bridges,Charlotte,Hornets,Grant Williams,15.04417948717949,4.423076923076923,0.0032051282051281937,1.810897435897436,8.807000000000002,8,False
Kawhi Leonard,Los Angeles,Clippers,Ben Simmons,15.033055555555556,3.1999999999999997,1.4,2.05,8.383055555555558,5,False
Anthony Davis,Dallas,Mavericks,Kyrie Irving,15.009019607843147,16.59259259259259,1.2222222222222223,3.518518518518518,-6.324313725490185,54,False
Julius Randle,Minnesota,Timberwolves,Nickeil Alexander-Walker,15.00229020979021,3.4477095937770095,0.4606741573033708,1.014693171996543,10.079213286713287,13,False
LeBron James,Los Angeles,Lakers,Shake Milton,14.980005175983436,3.2445652173913047,1.25,1.4891304347826086,8.996309523809522,8,False
Franz Wagner,Orlando,Magic,Caleb Houstan,14.895435567758277,2.8175033921302575,0.700135685210312,0.8595658073270013,10.518230683090705,22,False
Lauri Markkanen,Utah,Jazz,Isaiah Collier,14.81607857142856,4.732857142857142,1.732857142857143,0.8757142857142854,7.47464999999999,28,False
Joel Embiid,Philadelphia,76ers,Jared Butler,14.597788461538457,2.092307692307692,2.9230769230769234,0.7461538461538462,8.836249999999996,26,False
Rui Hachimura,Los Angeles,Lakers,Bronny James,14.564086591352693,1.4888507718696398,0.7547169811320755,0.4596912521440824,11.860827586206895,11,False
Jalen Williams,Oklahoma City,Thunder,Aaron Wiggins,14.542101208777957,5.875143184421535,1.4662084765177548,0.2646048109965635,6.9361447368421025,9,False
Dejounte Murray,New Orleans,Pelicans,Jose Alvarado,14.483838433292533,3.9321705426356592,1.7529069767441863,1.0765503875968994,7.722210526315788,43,False
Paolo Banchero,Orlando,Magic,Moritz Wagner,14.48325,6.54,0.72,2.14,5.08325,25,False
Bilal Coulibaly,Washington,Wizards,Justin Champagnie,14.46828098615332,1.7365754812563319,0.37689969604863216,3.066869300911854,9.287936507936504,21,False
Franz Wagner,Orlando,Magic,Cole Anthony,14.45913692177843,4.37012987012987,1.6067821067821066,1.0800865800865802,7.402138364779873,22,False
CJ McCollum,New Orleans,Pelicans,Antonio Reeves,14.453109183138661,4.388888888888889,0.3060796645702306,0.8763102725366877,8.881830357142855,18,False
Stephen Curry,Golden State,Warriors,Jonathan Kuminga,14.429372486854321,9.047131147540984,0.7028688524590163,1.028688524590164,3.650683962264157,8,False
Tobias Harris,Detroit,Pistons,Ausar Thompson,14.427358757062152,4.223958333333334,1.4583333333333335,2.255208333333333,6.4898587570621515,6,False
Dejounte Murray,New Orleans,Pelicans,Antonio Reeves,14.427096454743513,4.544612794612794,0.46801346801346805,0.9764309764309764,8.438039215686274,44,False
Dejounte Murray,New Orleans,Pelicans,Elfrid Payton,14.39741758241758,0.35714285714285676,4.476190476190475,1.095238095238095,8.468846153846153,14,False
Stephen Curry,Golden State,Warriors,Brandin Podziemski,14.292424593128393,2.640144665461122,1.8987341772151898,1.7956600361663657,7.957885714285716,7,False
Luka Doncic,Dallas,Mavericks,Quentin Grimes,14.281,5.538461538461538,1.153846153846154,0.6923076923076925,6.896384615384616,26,False
Herbert Jones,New Orleans,Pelicans,Elfrid Payton,14.279117647058829,1.3888888888888893,2.5555555555555554,-0.44444444444444464,10.779117647058829,18,False
Jaylen Brown,Boston,Celtics,Baylor Scheierman,14.255889423076923,4.138461538461539,0.7153846153846155,1.569230769230769,7.832812499999999,10,False
Kevin Durant,Phoenix,Suns,Collin Gillespie,14.239023996773545,4.447368421052632,0.5578947368421052,1.3736842105263156,7.860076628352493,10,False
Luka Doncic,Dallas,Mavericks,Naji Marshall,14.237696588213833,4.980295566502463,0.5369458128078821,1.3858784893267648,7.334576719576724,58,False
Kyrie Irving,Dallas,Mavericks,Naji Marshall,14.20835856265415,3.819220430107528,1.247311827956989,1.098790322580645,8.043035982008988,31,False
Victor Wembanyama,San Antonio,Spurs,Sandro Mamukelashvili,14.182544642857144,5.151428571428571,0.8028571428571427,2.2485714285714287,5.979687500000001,35,False
LeBron James,Los Angeles,Lakers,Alex Len,14.158534391534392,2.4232804232804233,0.783068783068783,2.5185185185185186,8.433666666666667,7,False
Herbert Jones,New Orleans,Pelicans,Jeremiah Robinson-Earl,14.153816959444807,3.4307091737150293,0.4144437215354586,1.8919973975276512,8.416666666666668,53,False
Michael Porter Jr.,Denver,Nuggets,Christian Braun,14.097013498055361,3.8808510638297857,1.774468085106383,2.440425531914893,6.0012688172042985,5,False
